iter	MultiClass
0	1.164180416
1	1.079330309
2	1.037883009
3	1.01614357
4	1.004356866
5	0.997825141
6	0.9941352302
7	0.9920100652
8	0.9907617657
9	0.9900141486
10	0.9895581084
11	0.9892752725
12	0.9890973
13	0.9889839319
14	0.9889109825
15	0.9888636551
16	0.9888327489
17	0.9888124615
18	0.9887990903
19	0.9887902495
20	0.9887843897
21	0.9887804983
22	0.9887779102
23	0.988776187
24	0.9887750385
25	0.9887742726
26	0.9887737615
27	0.9887734204
28	0.9887731925
29	0.9887730404
30	0.9887729387
31	0.9887728708
32	0.9887728254
33	0.988772795
34	0.9887727747
35	0.9887727612
36	0.9887727521
37	0.988772746
38	0.988772742
39	0.9887727393
40	0.9887727375
41	0.9887727363
42	0.9887727355
43	0.9887727349
44	0.9887727346
45	0.9887727343
46	0.9887727342
47	0.988772734
48	0.988772734
49	0.9887727339
50	0.9887727339
51	0.9887727339
52	0.9887727339
53	0.9887727338
54	0.9887727338
55	0.9887727338
56	0.9887727338
57	0.9887727338
58	0.9887727338
59	0.9887727338
60	0.9887727338
61	0.9887727338
62	0.9887727338
63	0.9887727338
64	0.9887727338
65	0.9887727338
66	0.9887727338
67	0.9887727338
68	0.9887727338
69	0.9887727338
70	0.9887727338
71	0.9887727338
72	0.9887727338
73	0.9887727338
74	0.9887727338
75	0.9887727338
76	0.9887727338
77	0.9887727338
78	0.9887727338
79	0.9887727338
80	0.9887727338
81	0.9887727338
82	0.9887727338
83	0.9887727338
84	0.9887727338
85	0.9887727338
86	0.9887727338
87	0.9887727338
88	0.9887727338
89	0.9887727338
90	0.9887727338
91	0.9887727338
92	0.9887727338
93	0.9887727338
94	0.9887727338
95	0.9887727338
96	0.9887727338
97	0.9887727338
98	0.9887727338
99	0.9887727338
100	0.9887727338
101	0.9887727338
102	0.9887727338
103	0.9887727338
104	0.9887727338
105	0.9887727338
106	0.9887727338
107	0.9887727338
108	0.9887727338
109	0.9887727338
110	0.9887727338
111	0.9887727338
112	0.9887727338
113	0.9887727338
114	0.9887727338
115	0.9887727338
116	0.9887727338
117	0.9887727338
118	0.9887727338
119	0.9887727338
120	0.9887727338
121	0.9887727338
122	0.9887727338
123	0.9887727338
124	0.9887727338
125	0.9887727338
126	0.9887727338
127	0.9887727338
128	0.9887727338
129	0.9887727338
130	0.9887727338
131	0.9887727338
132	0.9887727338
133	0.9887727338
134	0.9887727338
135	0.9887727338
136	0.9887727338
137	0.9887727338
138	0.9887727338
139	0.9887727338
140	0.9887727338
141	0.9887727338
142	0.9887727338
143	0.9887727338
144	0.9887727338
145	0.9887727338
146	0.9887727338
147	0.9887727338
148	0.9887727338
149	0.9887727338
150	0.9887727338
151	0.9887727338
152	0.9887727338
153	0.9887727338
154	0.9887727338
155	0.9887727338
156	0.9887727338
157	0.9887727338
158	0.9887727338
159	0.9887727338
160	0.9887727338
161	0.9887727338
162	0.9887727338
163	0.9887727338
164	0.9887727338
165	0.9887727338
166	0.9887727338
167	0.9887727338
168	0.9887727338
169	0.9887727338
170	0.9887727338
171	0.9887727338
172	0.9887727338
173	0.9887727338
174	0.9887727338
175	0.9887727338
176	0.9887727338
177	0.9887727338
178	0.9887727338
179	0.9887727338
180	0.9887727338
181	0.9887727338
182	0.9887727338
183	0.9887727338
184	0.9887727338
185	0.9887727338
186	0.9887727338
187	0.9887727338
188	0.9887727338
189	0.9887727338
190	0.9887727338
191	0.9887727338
192	0.9887727338
193	0.9887727338
194	0.9887727338
195	0.9887727338
196	0.9887727338
197	0.9887727338
198	0.9887727338
199	0.9887727338
200	0.9887727338
201	0.9887727338
202	0.9887727338
203	0.9887727338
204	0.9887727338
205	0.9887727338
206	0.9887727338
207	0.9887727338
208	0.9887727338
209	0.9887727338
210	0.9887727338
211	0.9887727338
212	0.9887727338
213	0.9887727338
214	0.9887727338
215	0.9887727338
216	0.9887727338
217	0.9887727338
218	0.9887727338
219	0.9887727338
220	0.9887727338
221	0.9887727338
222	0.9887727338
223	0.9887727338
224	0.9887727338
225	0.9887727338
226	0.9887727338
227	0.9887727338
228	0.9887727338
229	0.9887727338
230	0.9887727338
231	0.9887727338
232	0.9887727338
233	0.9887727338
234	0.9887727338
235	0.9887727338
236	0.9887727338
237	0.9887727338
238	0.9887727338
239	0.9887727338
240	0.9887727338
241	0.9887727338
242	0.9887727338
243	0.9887727338
244	0.9887727338
245	0.9887727338
246	0.9887727338
247	0.9887727338
248	0.9887727338
249	0.9887727338
250	0.9887727338
251	0.9887727338
252	0.9887727338
253	0.9887727338
254	0.9887727338
255	0.9887727338
256	0.9887727338
257	0.9887727338
258	0.9887727338
259	0.9887727338
260	0.9887727338
261	0.9887727338
262	0.9887727338
263	0.9887727338
264	0.9887727338
265	0.9887727338
266	0.9887727338
267	0.9887727338
268	0.9887727338
269	0.9887727338
270	0.9887727338
271	0.9887727338
272	0.9887727338
273	0.9887727338
274	0.9887727338
275	0.9887727338
276	0.9887727338
277	0.9887727338
278	0.9887727338
279	0.9887727338
280	0.9887727338
281	0.9887727338
282	0.9887727338
283	0.9887727338
284	0.9887727338
285	0.9887727338
286	0.9887727338
287	0.9887727338
288	0.9887727338
289	0.9887727338
290	0.9887727338
291	0.9887727338
292	0.9887727338
293	0.9887727338
294	0.9887727338
295	0.9887727338
296	0.9887727338
297	0.9887727338
298	0.9887727338
299	0.9887727338
300	0.9887727338
301	0.9887727338
302	0.9887727338
303	0.9887727338
304	0.9887727338
305	0.9887727338
306	0.9887727338
307	0.9887727338
308	0.9887727338
309	0.9887727338
310	0.9887727338
311	0.9887727338
312	0.9887727338
313	0.9887727338
314	0.9887727338
315	0.9887727338
316	0.9887727338
317	0.9887727338
318	0.9887727338
319	0.9887727338
320	0.9887727338
321	0.9887727338
322	0.9887727338
323	0.9887727338
324	0.9887727338
325	0.9887727338
326	0.9887727338
327	0.9887727338
328	0.9887727338
329	0.9887727338
330	0.9887727338
331	0.9887727338
332	0.9887727338
333	0.9887727338
334	0.9887727338
335	0.9887727338
336	0.9887727338
337	0.9887727338
338	0.9887727338
339	0.9887727338
340	0.9887727338
341	0.9887727338
342	0.9887727338
343	0.9887727338
344	0.9887727338
345	0.9887727338
346	0.9887727338
347	0.9887727338
348	0.9887727338
349	0.9887727338
350	0.9887727338
351	0.9887727338
352	0.9887727338
353	0.9887727338
354	0.9887727338
355	0.9887727338
356	0.9887727338
357	0.9887727338
358	0.9887727338
359	0.9887727338
360	0.9887727338
361	0.9887727338
362	0.9887727338
363	0.9887727338
364	0.9887727338
365	0.9887727338
366	0.9887727338
367	0.9887727338
368	0.9887727338
369	0.9887727338
370	0.9887727338
371	0.9887727338
372	0.9887727338
373	0.9887727338
374	0.9887727338
375	0.9887727338
376	0.9887727338
377	0.9887727338
378	0.9887727338
379	0.9887727338
380	0.9887727338
381	0.9887727338
382	0.9887727338
383	0.9887727338
384	0.9887727338
385	0.9887727338
386	0.9887727338
387	0.9887727338
388	0.9887727338
389	0.9887727338
390	0.9887727338
391	0.9887727338
392	0.9887727338
393	0.9887727338
394	0.9887727338
395	0.9887727338
396	0.9887727338
397	0.9887727338
398	0.9887727338
399	0.9887727338
400	0.9887727338
401	0.9887727338
402	0.9887727338
403	0.9887727338
404	0.9887727338
405	0.9887727338
406	0.9887727338
407	0.9887727338
408	0.9887727338
409	0.9887727338
410	0.9887727338
411	0.9887727338
412	0.9887727338
413	0.9887727338
414	0.9887727338
415	0.9887727338
416	0.9887727338
417	0.9887727338
418	0.9887727338
419	0.9887727338
420	0.9887727338
421	0.9887727338
422	0.9887727338
423	0.9887727338
424	0.9887727338
425	0.9887727338
426	0.9887727338
427	0.9887727338
428	0.9887727338
429	0.9887727338
430	0.9887727338
431	0.9887727338
432	0.9887727338
433	0.9887727338
434	0.9887727338
435	0.9887727338
436	0.9887727338
437	0.9887727338
438	0.9887727338
439	0.9887727338
440	0.9887727338
441	0.9887727338
442	0.9887727338
443	0.9887727338
444	0.9887727338
445	0.9887727338
446	0.9887727338
447	0.9887727338
448	0.9887727338
449	0.9887727338
450	0.9887727338
451	0.9887727338
452	0.9887727338
453	0.9887727338
454	0.9887727338
455	0.9887727338
456	0.9887727338
457	0.9887727338
458	0.9887727338
459	0.9887727338
460	0.9887727338
461	0.9887727338
462	0.9887727338
463	0.9887727338
464	0.9887727338
465	0.9887727338
466	0.9887727338
467	0.9887727338
468	0.9887727338
469	0.9887727338
470	0.9887727338
471	0.9887727338
472	0.9887727338
473	0.9887727338
474	0.9887727338
475	0.9887727338
476	0.9887727338
477	0.9887727338
478	0.9887727338
479	0.9887727338
480	0.9887727338
481	0.9887727338
482	0.9887727338
483	0.9887727338
484	0.9887727338
485	0.9887727338
486	0.9887727338
487	0.9887727338
488	0.9887727338
489	0.9887727338
490	0.9887727338
491	0.9887727338
492	0.9887727338
493	0.9887727338
494	0.9887727338
495	0.9887727338
496	0.9887727338
497	0.9887727338
498	0.9887727338
499	0.9887727338
500	0.9887727338
501	0.9887727338
502	0.9887727338
503	0.9887727338
504	0.9887727338
505	0.9887727338
506	0.9887727338
507	0.9887727338
508	0.9887727338
509	0.9887727338
510	0.9887727338
511	0.9887727338
512	0.9887727338
513	0.9887727338
514	0.9887727338
515	0.9887727338
516	0.9887727338
517	0.9887727338
518	0.9887727338
519	0.9887727338
520	0.9887727338
521	0.9887727338
522	0.9887727338
523	0.9887727338
524	0.9887727338
525	0.9887727338
526	0.9887727338
527	0.9887727338
528	0.9887727338
529	0.9887727338
530	0.9887727338
531	0.9887727338
532	0.9887727338
533	0.9887727338
534	0.9887727338
535	0.9887727338
536	0.9887727338
537	0.9887727338
538	0.9887727338
539	0.9887727338
540	0.9887727338
541	0.9887727338
542	0.9887727338
543	0.9887727338
544	0.9887727338
545	0.9887727338
546	0.9887727338
547	0.9887727338
548	0.9887727338
549	0.9887727338
550	0.9887727338
551	0.9887727338
552	0.9887727338
553	0.9887727338
554	0.9887727338
555	0.9887727338
556	0.9887727338
557	0.9887727338
558	0.9887727338
559	0.9887727338
560	0.9887727338
561	0.9887727338
562	0.9887727338
563	0.9887727338
564	0.9887727338
565	0.9887727338
566	0.9887727338
567	0.9887727338
568	0.9887727338
569	0.9887727338
570	0.9887727338
571	0.9887727338
572	0.9887727338
573	0.9887727338
574	0.9887727338
575	0.9887727338
576	0.9887727338
577	0.9887727338
578	0.9887727338
579	0.9887727338
580	0.9887727338
581	0.9887727338
582	0.9887727338
583	0.9887727338
584	0.9887727338
585	0.9887727338
586	0.9887727338
587	0.9887727338
588	0.9887727338
589	0.9887727338
590	0.9887727338
591	0.9887727338
592	0.9887727338
593	0.9887727338
594	0.9887727338
595	0.9887727338
596	0.9887727338
597	0.9887727338
598	0.9887727338
599	0.9887727338
600	0.9887727338
601	0.9887727338
602	0.9887727338
603	0.9887727338
604	0.9887727338
605	0.9887727338
606	0.9887727338
607	0.9887727338
608	0.9887727338
609	0.9887727338
610	0.9887727338
611	0.9887727338
612	0.9887727338
613	0.9887727338
614	0.9887727338
615	0.9887727338
616	0.9887727338
617	0.9887727338
618	0.9887727338
619	0.9887727338
620	0.9887727338
621	0.9887727338
622	0.9887727338
623	0.9887727338
624	0.9887727338
625	0.9887727338
626	0.9887727338
627	0.9887727338
628	0.9887727338
629	0.9887727338
630	0.9887727338
631	0.9887727338
632	0.9887727338
633	0.9887727338
634	0.9887727338
635	0.9887727338
636	0.9887727338
637	0.9887727338
638	0.9887727338
639	0.9887727338
640	0.9887727338
641	0.9887727338
642	0.9887727338
643	0.9887727338
644	0.9887727338
645	0.9887727338
646	0.9887727338
647	0.9887727338
648	0.9887727338
649	0.9887727338
650	0.9887727338
651	0.9887727338
652	0.9887727338
653	0.9887727338
654	0.9887727338
655	0.9887727338
656	0.9887727338
657	0.9887727338
658	0.9887727338
659	0.9887727338
660	0.9887727338
661	0.9887727338
662	0.9887727338
663	0.9887727338
664	0.9887727338
665	0.9887727338
666	0.9887727338
667	0.9887727338
668	0.9887727338
669	0.9887727338
670	0.9887727338
671	0.9887727338
672	0.9887727338
673	0.9887727338
674	0.9887727338
675	0.9887727338
676	0.9887727338
677	0.9887727338
678	0.9887727338
679	0.9887727338
680	0.9887727338
681	0.9887727338
682	0.9887727338
683	0.9887727338
684	0.9887727338
685	0.9887727338
686	0.9887727338
687	0.9887727338
688	0.9887727338
689	0.9887727338
690	0.9887727338
691	0.9887727338
692	0.9887727338
693	0.9887727338
694	0.9887727338
695	0.9887727338
696	0.9887727338
697	0.9887727338
698	0.9887727338
699	0.9887727338
700	0.9887727338
701	0.9887727338
702	0.9887727338
703	0.9887727338
704	0.9887727338
705	0.9887727338
706	0.9887727338
707	0.9887727338
708	0.9887727338
709	0.9887727338
710	0.9887727338
711	0.9887727338
712	0.9887727338
713	0.9887727338
714	0.9887727338
715	0.9887727338
716	0.9887727338
717	0.9887727338
718	0.9887727338
719	0.9887727338
720	0.9887727338
721	0.9887727338
722	0.9887727338
723	0.9887727338
724	0.9887727338
725	0.9887727338
726	0.9887727338
727	0.9887727338
728	0.9887727338
729	0.9887727338
730	0.9887727338
731	0.9887727338
732	0.9887727338
733	0.9887727338
734	0.9887727338
735	0.9887727338
736	0.9887727338
737	0.9887727338
738	0.9887727338
739	0.9887727338
740	0.9887727338
741	0.9887727338
742	0.9887727338
743	0.9887727338
744	0.9887727338
745	0.9887727338
746	0.9887727338
747	0.9887727338
748	0.9887727338
749	0.9887727338
750	0.9887727338
751	0.9887727338
752	0.9887727338
753	0.9887727338
754	0.9887727338
755	0.9887727338
756	0.9887727338
757	0.9887727338
758	0.9887727338
759	0.9887727338
760	0.9887727338
761	0.9887727338
762	0.9887727338
763	0.9887727338
764	0.9887727338
765	0.9887727338
766	0.9887727338
767	0.9887727338
768	0.9887727338
769	0.9887727338
770	0.9887727338
771	0.9887727338
